Fantasy Index Cheat Sheet,,,,,,
Rankings calculated for OALFFL,,,,,,
,,,,,,
"Projections updated through Sep 01, 2025,  4 a.m. EDT",,,,,,
ALL POSITIONS,,,,,,
Rank,Pos,Team,Name,Bye,Points,
310,RB,GB,MarShawn Lloyd,5,19.66,
311,TE,LV,Michael Mayer,8,62.14,
312,RB,TEN,Kalel Mullings,10,18.93,
313,TE,BAL,Charlie Kolar,7,60.8,
314,WR,MIN,Jalen Nailor,6,50.35,
315,WR,PIT,Scotty Miller,5,49.63,
316,TE,BUF,Dawson Knox,7,59.61,
317,RB,HOU,Dameon Pierce,6,15.97,
318,WR,SF,Jordan Watkins,14,46.54,
319,WR,NYJ,Allen Lazard,9,45.49,
320,TE,CAR,Tommy Tremble,14,53.24,
321,WR,MIA,N. Westbrook-Ikhine,12,41.76,
322,QB,NYG,Russell Wilson,14,97.08,
323,TE,MIN,Josh Oliver,6,43.14,
324,TE,ARI,Elijah Higgins,8,39.3,
325,TE,IND,Drew Ogletree,11,38.34,
326,TE,LAR,Terrance Ferguson,8,36.93,
327,TE,GB,Luke Musgrave,5,35.38,
328,QB,CLE,Dillon Gabriel,9,80.57,
329,QB,NO,Tyler Shough,11,67.41,
330,QB,IND,Anthony Richardson,11,64.31,
331,QB,MIA,Zach Wilson,12,50.31,
332,QB,LAR,Jimmy Garoppolo,8,43.75,
333,QB,ATL,Kirk Cousins,5,41.62,
334,QB,SEA,Jalen Milroe,8,31.3,
335,QB,GB,Malik Willis,5,25.56,
336,QB,WAS,Marcus Mariota,12,23.44,
337,QB,CHI,Tyson Bagent,5,22,
338,QB,NYJ,Tyrod Taylor,9,21.68,
339,QB,CIN,Jake Browning,10,20.07,
340,QB,MIN,Carson Wentz,6,19.72,
341,QB,SF,Mac Jones,14,17.05,
342,QB,ARI,Jacoby Brissett,8,15.97,
343,QB,SEA,Drew Lock,8,15.53,
344,QB,JAC,Nick Mullens,8,,
345,K,HOU,Ka'imi Fairbairn,6,151.68,
346,K,DEN,Wil Lutz,12,148.44,
347,K,GB,Brandon McManus,5,145.24,
348,K,LV,Daniel Carlson,8,140.57,
349,K,SF,Jake Moody,14,139.6,
350,K,ARI,Chad Ryland,8,139.1,
351,K,SEA,Jason Myers,8,138.17,
352,K,LAR,Joshua Karty,8,137.96,
353,K,CIN,Evan McPherson,10,135.12,
354,K,ATL,Younghoe Koo,5,132.28,
355,K,IND,Spencer Shrader,11,130.07,
356,K,NYJ,Nick Folk,9,123.23,
357,K,TEN,Joey Slye,10,119.5,
358,K,NYG,Graham Gano,14,117.17,
359,K,CAR,Ryan Fitzgerald,14,114.23,
360,K,NE,Andres Borregales,14,111.21,
361,K,NO,Blake Grupe,11,108.3,
362,K,CLE,Andre Szmyt,9,105.44,
363,K,MIA,Jason Sanders,12,94.9,
364,K,MIA,Riley Patterson,12,39.27,
365,K,UFA,Justin Tucker,0,32.24,
366,K,UFA,Parker Romo,0,22.41,
367,K,UFA,Eddy Pineiro,0,16.17,
368,K,UFA,Zane Gonzalez,0,10.07,
369,K,UFA,Matthew Wright,0,9.35,
370,K,UFA,Greg Joseph,0,8.96,
