Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 04, 2025,  2 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
159,WR,DEN,Marvin Mims,12,139.71,,,,,,,,,
160,TE,MIA,Darren Waller,12,94.98,,,,,,,,,
161,QB,ATL,Michael Penix,5,235.27,,,,,,,,,
162,TE,CHI,Cole Kmet,5,94.62,,,,,,,,,
163,TE,CAR,Ja'Tavion Sanders,14,94.53,,,,,,,,,
164,RB,NYG,Cam Skattebo,14,113.02,,,,,,,,,
165,TE,HOU,Dalton Schultz,6,91.56,,,,,,,,,
166,TE,NO,Juwan Johnson,11,90.87,,,,,,,,,
167,TE,CIN,Mike Gesicki,10,90.56,,,,,,,,,
168,WR,NO,Chris Olave,11,134.31,,,,,,,,,
169,RB,CAR,Rico Dowdle,14,109.02,,,,,,,,,
170,TE,TEN,Chig Okonkwo,10,86.16,,,,,,,,,
171,TE,JAC,Brenton Strange,8,85.54,,,,,,,,,
172,WR,CAR,Xavier Legette,14,129.82,,,,,,,,,
173,RB,BUF,Ray Davis,7,105.3,,,,,,,,,
174,TE,BAL,Isaiah Likely,7,83.62,,,,,,,,,
175,TE,NE,Hunter Henry,14,83.57,,,,,,,,,
176,RB,TB,Sean Tucker,9,104.34,,,,,,,,,
177,WR,NE,Stefon Diggs,14,126.24,,,,,,,,,
178,WR,GB,Jayden Reed,5,125.53,,,,,,,,,
179,RB,DAL,Jaydon Blue,10,101.55,,,,,,,,,
180,TE,LAR,Tyler Higbee,8,80.49,,,,,,,,,
181,WR,HOU,Christian Kirk,6,124.22,,,,,,,,,
182,RB,KC,Kareem Hunt,10,99.94,,,,,,,,,
183,RB,BUF,Ty Johnson,7,98.99,,,,,,,,,
184,TE,PIT,Jonnu Smith,5,74.98,,,,,,,,,
185,WR,NO,Rashid Shaheed,11,119.54,,,,,,,,,
186,WR,IND,Michael Pittman,11,118.53,,,,,,,,,
187,RB,TB,Rachaad White,9,93.51,,,,,,,,,
188,RB,BAL,Justice Hill,7,93.28,,,,,,,,,
189,RB,GB,Emanuel Wilson,5,92.36,,,,,,,,,
190,TE,TB,Cade Otton,9,70.61,,,,,,,,,
191,TE,NYJ,Mason Taylor,9,70.27,,,,,,,,,
192,WR,ARI,Michael Wilson,8,114.78,,,,,,,,,
193,TE,KC,Noah Gray,10,69.29,,,,,,,,,
194,TE,SEA,Elijah Arroyo,8,69.15,,,,,,,,,
195,WR,NYG,Wan'Dale Robinson,14,112.71,,,,,,,,,
196,WR,BUF,Joshua Palmer,7,112.09,,,,,,,,,
197,WR,IND,Josh Downs,11,111.23,,,,,,,,,
198,TE,CLE,Harold Fannin,9,66.36,,,,,,,,,
199,WR,DEN,Troy Franklin,12,110.66,,,,,,,,,
200,RB,CHI,Kyle Monangai,5,86.39,,,,,,,,,
201,WR,CLE,Cedric Tillman,9,109.09,,,,,,,,,
202,WR,GB,Romeo Doubs,5,108.91,,,,,,,,,
203,RB,CHI,Roschon Johnson,5,83.98,,,,,,,,,
204,WR,LAC,Quentin Johnston,12,107.54,,,,,,,,,
205,WR,KC,JuJu Smith-Schuster,10,107.48,,,,,,,,,
206,WR,NE,DeMario Douglas,14,107.41,,,,,,,,,
207,WR,LAC,Keenan Allen,12,107.06,,,,,,,,,
208,RB,CLE,Dylan Sampson,9,82.47,,,,,,,,,
209,WR,SEA,Cooper Kupp,8,106.09,,,,,,,,,
210,RB,NO,Kendre Miller,11,82.34,,,,,,,,,
211,RB,PIT,Kenneth Gainwell,5,82.27,,,,,,,,,
212,TE,LAC,Will Dissly,12,61.11,,,,,,,,,
213,RB,PHI,Will Shipley,9,80.93,,,,,,,,,
214,WR,TB,Chris Godwin,9,98.44,,,,,,,,,
215,TE,NE,Austin Hooper,14,52.39,,,,,,,,,
216,TE,SEA,AJ Barner,8,52.09,,,,,,,,,
217,WR,TEN,Tyler Lockett,10,96.21,,,,,,,,,
218,RB,TEN,Tyjae Spears,10,71.19,,,,,,,,,
219,TE,BUF,Dawson Knox,7,48.8,,,,,,,,,
220,TE,BAL,Charlie Kolar,7,48.68,,,,,,,,,
221,TE,LAC,Tyler Conklin,12,47.53,,,,,,,,,
222,TE,LV,Michael Mayer,8,46.27,,,,,,,,,
223,RB,GB,Chris Brooks,5,67.14,,,,,,,,,
224,WR,LV,Donte Thornton,8,90.53,,,,,,,,,
225,TE,TEN,Gunnar Helm,10,45.82,,,,,,,,,
226,WR,IND,Alec Pierce,11,89.64,,,,,,,,,
227,RB,CIN,Samaje Perine,10,65.87,,,,,,,,,
228,WR,DET,Isaac TeSlaa,8,89.42,,,,,,,,,
229,WR,KC,Marquise Brown,10,87.93,,,,,,,,,
230,WR,MIA,Malik Washington,12,84.58,,,,,,,,,
231,WR,NYG,Darius Slayton,14,84.41,,,,,,,,,
232,WR,SEA,Tory Horton,8,83.3,,,,,,,,,
233,TE,CAR,Tommy Tremble,14,37.81,,,,,,,,,
234,RB,BAL,Keaton Mitchell,7,58.1,,,,,,,,,
235,WR,LAR,Tutu Atwell,8,81.56,,,,,,,,,
236,RB,DAL,Miles Sanders,10,59.98,,,,,,,,,
237,WR,ATL,Ray-Ray McCloud,5,80.3,,,,,,,,,
238,WR,PIT,Calvin Austin,5,79.71,,,,,,,,,
239,RB,NYG,Devin Singletary,14,54.56,,,,,,,,,
240,TE,MIN,Josh Oliver,6,32.2,,,,,,,,,
241,RB,JAC,Bhayshul Tuten,8,52.43,,,,,,,,,
242,WR,CIN,Andrei Iosivas,10,75,,,,,,,,,
243,WR,MIN,Adam Thielen,6,74.71,,,,,,,,,
244,WR,LV,Tre Tucker,8,74.31,,,,,,,,,
245,RB,NE,Antonio Gibson,14,50.46,,,,,,,,,
246,TE,IND,Drew Ogletree,11,28.84,,,,,,,,,
247,WR,SF,Brandon Aiyuk,14,73.26,,,,,,,,,
248,RB,NYJ,Isaiah Davis,9,49.29,,,,,,,,,
249,WR,KC,Tyquan Thornton,10,72.86,,,,,,,,,
250,WR,CAR,Jalen Coker,14,72.71,,,,,,,,,
251,QB,NO,Spencer Rattler,11,168.33,,,,,,,,,
252,RB,LV,Raheem Mostert,8,48.27,,,,,,,,,
253,WR,CHI,Olamide Zaccheaus,5,71.9,,,,,,,,,
254,TE,LAR,Terrance Ferguson,8,27.28,,,,,,,,,
255,TE,ARI,Elijah Higgins,8,26.52,,,,,,,,,
256,WR,CLE,Jamari Thrash,9,70.59,,,,,,,,,
257,WR,NYJ,Josh Reynolds,9,70.38,,,,,,,,,
258,WR,BAL,DeAndre Hopkins,7,70.26,,,,,,,,,
259,TE,GB,Luke Musgrave,5,25.49,,,,,,,,,
260,RB,CIN,Tahj Brooks,10,45.72,,,,,,,,,
261,WR,HOU,Jayden Higgins,6,68.92,,,,,,,,,
262,RB,SF,Isaac Guerendo,14,44.53,,,,,,,,,
263,WR,TB,Jalen McMillan,9,67.18,,,,,,,,,
264,RB,IND,DJ Giddens,11,40.77,,,,,,,,,
265,RB,DEN,Jaleel McLaughlin,12,40.49,,,,,,,,,
266,WR,TEN,Elic Ayomanor,10,63.1,,,,,,,,,
267,RB,LV,Zamir White,8,39.32,,,,,,,,,
268,WR,CIN,Mitchell Tinsley,10,62.63,,,,,,,,,
269,QB,CLE,Joe Flacco,9,158.26,,,,,,,,,
270,RB,WAS,Jeremy McNichols,12,37.61,,,,,,,,,
271,RB,CLE,Raheim Sanders,9,37.01,,,,,,,,,
272,WR,DAL,KaVontae Turpin,10,61.4,,,,,,,,,
273,RB,HOU,Woody Marks,6,36.56,,,,,,,,,
274,WR,JAC,Dyami Brown,8,60.11,,,,,,,,,
275,WR,NE,Mack Hollins,14,59.05,,,,,,,,,
276,WR,CAR,Hunter Renfrow,14,58.32,,,,,,,,,
277,RB,HOU,Dare Ogunbowale,6,34.22,,,,,,,,,
