Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
125,DST,BUF,Buffalo,7,142.79,,,,,,,,,
126,K,MIN,Will Reichard,6,141.8,,,,,,,,,
127,K,CHI,Cairo Santos,10,139.12,,,,,,,,,
128,K,LAR,Harrison Mevis,11,138.12,,,,,,,,,
129,QB,CAR,Bryce Young,5,245.48,,,,,,,,,
130,QB,IND,Daniel Jones,13,241.24,,,,,,,,,
131,QB,ARI,Jacoby Brissett,14,226.98,,,,,,,,,
132,QB,LV,Kirk Cousins,13,225.09,,,,,,,,,
133,QB,PIT,Aaron Rodgers,9,215.17,,,,,,,,,
134,QB,NYJ,Geno Smith,13,200.14,,,,,,,,,
135,QB,SEA,Sam Darnold,11,197.16,,,,,,,,,
136,QB,CLE,Deshaun Watson,11,165.29,,,,,,,,,
137,RB,CHI,Kyle Monangai,10,142.78,,,,,,,,,
138,QB,ATL,Michael Penix,11,140.89,,,,,,,,,
139,RB,WAS,Jacory Croskey-Merritt,7,139.94,,,,,,,,,
140,RB,LV,Mike Washington,13,136.91,,,,,,,,,
141,RB,DEN,RJ Harvey,10,134.68,,,,,,,,,
142,TE,PHI,Dallas Goedert,10,131.45,,,,,,,,,
143,RB,ARI,Tyler Allgeier,14,130.94,,,,,,,,,
144,TE,BUF,Dalton Kincaid,7,129.95,,,,,,,,,
145,QB,LV,Fernando Mendoza,13,128.79,,,,,,,,,
146,WR,TB,Chris Godwin,10,124.9,,,,,,,,,
147,WR,MIA,Caleb Douglas,6,123.67,,,,,,,,,
148,TE,NE,Hunter Henry,11,120.56,,,,,,,,,
149,WR,WAS,Stefon Diggs,8,123.29,,,,,,,,,
150,WR,TEN,Wan'Dale Robinson,9,122.84,,,,,,,,,
151,WR,BAL,Ja'Kobi Lane,13,121.21,,,,,,,,,
152,TE,ATL,Kyle Pitts,11,122.35,,,,,,,,,
153,RB,BUF,Ray Davis,7,119.29,,,,,,,,,
154,TE,DAL,Jake Ferguson,14,118.89,,,,,,,,,
155,WR,JAC,Jakobi Meyers,7,118.69,,,,,,,,,
156,WR,LAC,Quentin Johnston,7,118.48,,,,,,,,,
